Wall time,Step,Value
1766717625.9327116,1,1.5786516666412354
1766717794.2698164,2,2.134615421295166
1766717951.8972104,3,1.9481481313705444
1766718158.8618104,4,2.266472816467285
1766718363.5697098,5,2.652777671813965
1766718539.6944945,6,2.6579456329345703
1766718766.7702243,7,2.7397003173828125
1766718960.5846415,8,3.126436710357666
1766719192.6788046,9,2.9970929622650146
1766719420.1629987,10,3.7970588207244873
1766719654.170141,11,3.257662773132324
1766719879.3057194,12,3.413888931274414
1766720119.0544882,13,2.872159004211426
1766720611.1211383,14,3.4866254329681396
1766720845.5692515,15,2.9925925731658936
1766721086.7190824,16,2.9459707736968994
1766721357.0360222,17,3.90925931930542
1766721643.1405873,18,4.132022380828857
1766722089.8704698,19,2.9259259700775146
1766722312.1426818,20,2.9871795177459717
1766722562.2472122,21,3.4861111640930176
1766722767.2215502,22,2.8910984992980957
1766723231.9898765,23,3.0892856121063232
1766723435.4238393,24,3.5994317531585693
1766723608.2707238,25,3.1470587253570557
1766723842.3260972,26,2.6934523582458496
1766724201.4275591,27,2.9078431129455566
1766724339.5816202,28,2.479400634765625
1766724501.5813339,29,2.592479705810547
1766724691.0673053,30,1.8888888359069824
1766724843.410436,31,1.6551724672317505
1766725103.5641706,32,2.027777671813965
1766725339.1193643,33,1.6747967004776
1766725436.0479047,34,1.7881525754928589
1766725587.8738773,35,1.7916666269302368
1766725819.7330644,36,1.7864583730697632
1766726038.6552885,37,1.3734177350997925
1766726116.632174,38,1.364837408065796
1766726254.1222866,39,1.6434599161148071
1766726471.0772421,40,1.7144309282302856
1766726678.56351,41,1.6489583253860474
1766726751.1870542,42,1.5573593378067017
1766726887.8313673,43,1.1162551641464233
1766726958.6305342,44,1.3368544578552246
1766727097.7716634,45,1.1554054021835327
1766727237.0010817,46,1.6997991800308228
1766727364.302692,47,1.4909909963607788
1766727434.487273,48,1.7111872434616089
1766727568.4532006,49,1.5489583015441895
1766727706.0753272,50,1.5326576232910156
1766727822.5276794,51,1.3866666555404663
1766728032.8454003,52,1.3829114437103271
1766728094.0331357,53,1.1269230842590332
1766728228.4224792,54,1.3486841917037964
1766728351.4180906,55,1.3790650367736816
1766728418.0178845,56,1.5416666269302368
1766728546.422574,57,1.3502252101898193
1766728677.8044548,58,1.0193089246749878
1766728809.3298056,59,1.1019736528396606
1766729005.7827687,60,1.4578189849853516
1766729206.9976497,61,1.0739436149597168
1766729274.7031653,62,1.0576131343841553
1766729408.280526,63,1.521689534187317
1766729485.1218386,64,1.3103070259094238
1766729611.4978368,65,1.0181623697280884
1766729736.4824433,66,1.4583333730697632
1766729889.6006212,67,1.477450966835022
1766730023.18368,68,1.2488888502120972
1766730224.802962,69,1.4541666507720947
1766730301.03683,70,1.24465811252594
1766730442.835496,71,1.1666666269302368
1766730571.5629253,72,1.3975903987884521
1766730711.0801213,73,1.4288889169692993
1766730927.7093399,74,1.1829267740249634
1766731003.6833522,75,1.126068353652954
1766731143.6057653,76,1.405063271522522
1766731284.9302907,77,1.2416666746139526
1766731424.1939526,78,1.0720164775848389
1766731508.1869943,79,1.514957308769226
1766731645.9522896,80,1.153292179107666
1766731798.5372956,81,1.2177083492279053
1766732011.749431,82,1.3448275327682495
1766732162.7942605,83,1.357456088066101
1766732308.0555472,84,1.388235330581665
1766732393.8657708,85,1.5803921222686768
1766732537.291741,86,1.389880895614624
1766732694.8689208,87,1.340196132659912
1766732844.084162,88,1.5884146690368652
1766732992.8759062,89,1.1255273818969727
1766733150.1602752,90,1.2480158805847168
1766733308.1549418,91,1.0905349254608154
1766733456.9826407,92,1.2999999523162842
1766733595.520438,93,1.1512346267700195
1766733838.1329174,94,1.1147059202194214
1766734065.7105355,95,1.2366666793823242
1766734142.0795324,96,1.1686046123504639
1766734293.4565427,97,0.8808139562606812
1766734449.689056,98,0.9512194991111755
1766734591.4849262,99,0.9217479825019836
