"Step","ALFWORLD_RFT_Qwen_1.5B_GRPO_Baseline_trainer - actor/pg_clipfrac","ALFWORLD_RFT_Qwen_1.5B_GRPO_Baseline_trainer - actor/pg_clipfrac__MIN","ALFWORLD_RFT_Qwen_1.5B_GRPO_Baseline_trainer - actor/pg_clipfrac__MAX"
"1","0.0000611531729754504","0.0000611531729754504","0.0000611531729754504"
"2","0.000011381750038370143","0.000011381750038370143","0.000011381750038370143"
"3","0.00001894083532002451","0.00001894083532002451","0.00001894083532002451"
"4","0.000022123235388054573","0.000022123235388054573","0.000022123235388054573"
"5","0.00005641859703852485","0.00005641859703852485","0.00005641859703852485"
"6","0.00005126435688318132","0.00005126435688318132","0.00005126435688318132"
"7","0.0000934240694429415","0.0000934240694429415","0.0000934240694429415"
"8","0.00007191698422352558","0.00007191698422352558","0.00007191698422352558"
"9","0.00004319188056066267","0.00004319188056066267","0.00004319188056066267"
"10","0.000043143595206910875","0.000043143595206910875","0.000043143595206910875"
"11","0.000028124542650314573","0.000028124542650314573","0.000028124542650314573"
"12","0.00008534926761205148","0.00008534926761205148","0.00008534926761205148"
"13","0.000010669003850558683","0.000010669003850558683","0.000010669003850558683"
"14","0.00003951209262996023","0.00003951209262996023","0.00003951209262996023"
"15","0.00007070089294465329","0.00007070089294465329","0.00007070089294465329"
"16","0.000009455880144279514","0.000009455880144279514","0.000009455880144279514"
"17","0.00005496931305834066","0.00005496931305834066","0.00005496931305834066"
"18","0.000056833974531825595","0.000056833974531825595","0.000056833974531825595"
"19","0.00006238434391104194","0.00006238434391104194","0.00006238434391104194"
"20","0.00008657341075360501","0.00008657341075360501","0.00008657341075360501"
"21","0.0000465496800946615","0.0000465496800946615","0.0000465496800946615"
"22","0.0000811845455199289","0.0000811845455199289","0.0000811845455199289"
"23","0.00003262468906142181","0.00003262468906142181","0.00003262468906142181"
"24","0.00011996189769134563","0.00011996189769134563","0.00011996189769134563"
"25","0.000023516616732976808","0.000023516616732976808","0.000023516616732976808"
"26","0.00010450746611684185","0.00010450746611684185","0.00010450746611684185"
"27","0.00005300172009555361","0.00005300172009555361","0.00005300172009555361"
"28","0.00006424358357841952","0.00006424358357841952","0.00006424358357841952"
"29","0.00005184461180821123","0.00005184461180821123","0.00005184461180821123"
"30","0.0001169250270264918","0.0001169250270264918","0.0001169250270264918"
"31","0.00010175925736773698","0.00010175925736773698","0.00010175925736773698"
"32","0.00003870694081718487","0.00003870694081718487","0.00003870694081718487"
"33","0.00005250831576807785","0.00005250831576807785","0.00005250831576807785"
"34","0.000067339408613976","0.000067339408613976","0.000067339408613976"
"35","0.000134470373920099","0.000134470373920099","0.000134470373920099"
"36","0.00004149173676013583","0.00004149173676013583","0.00004149173676013583"
"37","0.00008297478997856232","0.00008297478997856232","0.00008297478997856232"
"38","0.00014778733865598276","0.00014778733865598276","0.00014778733865598276"
"39","0.00013564325702710326","0.00013564325702710326","0.00013564325702710326"
"40","0.000050276212277822196","0.000050276212277822196","0.000050276212277822196"
"41","0.0000761420694342472","0.0000761420694342472","0.0000761420694342472"
"42","0.00019519015833467884","0.00019519015833467884","0.00019519015833467884"
"43","0.00012723575076691946","0.00012723575076691946","0.00012723575076691946"
"44","0.00007933525434735385","0.00007933525434735385","0.00007933525434735385"
"45","0.00012473716038663912","0.00012473716038663912","0.00012473716038663912"
"46","0.00009211574913512078","0.00009211574913512078","0.00009211574913512078"
"47","0.00011309144336838222","0.00011309144336838222","0.00011309144336838222"
"48","0.0001409890994208568","0.0001409890994208568","0.0001409890994208568"
"49","0.00015755682382163116","0.00015755682382163116","0.00015755682382163116"
"50","0.0000896441578474814","0.0000896441578474814","0.0000896441578474814"
"51","0.00011011566800464476","0.00011011566800464476","0.00011011566800464476"
"52","0.00019865870940995945","0.00019865870940995945","0.00019865870940995945"
"53","0.00016922192537874382","0.00016922192537874382","0.00016922192537874382"
"54","0.00012071782604415113","0.00012071782604415113","0.00012071782604415113"
"55","0.00019159911201260162","0.00019159911201260162","0.00019159911201260162"
"56","0.00013216889269610906","0.00013216889269610906","0.00013216889269610906"
"57","0.0001551303478258655","0.0001551303478258655","0.0001551303478258655"
"58","0.00014705599470051542","0.00014705599470051542","0.00014705599470051542"
"59","0.00016400058377578664","0.00016400058377578664","0.00016400058377578664"
"60","0.0001407032366071069","0.0001407032366071069","0.0001407032366071069"
"61","0.00017799522587421364","0.00017799522587421364","0.00017799522587421364"
"62","0.00015721425592895972","0.00015721425592895972","0.00015721425592895972"
"63","0.00031329941444993944","0.00031329941444993944","0.00031329941444993944"
"64","0.00022272431098307216","0.00022272431098307216","0.00022272431098307216"
"65","0.00028560390710481444","0.00028560390710481444","0.00028560390710481444"
