"Step","ALFWORLD_RFT_Qwen_1.5B_R3L_trainer - actor/grad_norm","ALFWORLD_RFT_Qwen_1.5B_R3L_trainer - actor/grad_norm__MIN","ALFWORLD_RFT_Qwen_1.5B_R3L_trainer - actor/grad_norm__MAX"
"1","0.07540828734636307","0.07540828734636307","0.07540828734636307"
"2","0.00009610935376258567","0.00009610935376258567","0.00009610935376258567"
"3","0.045576851814985275","0.045576851814985275","0.045576851814985275"
"4","0.020905397832393646","0.020905397832393646","0.020905397832393646"
"5","0.06834036856889725","0.06834036856889725","0.06834036856889725"
"6","0.05898601934313774","0.05898601934313774","0.05898601934313774"
"7","0.012983918190002441","0.012983918190002441","0.012983918190002441"
"8","0.03432108834385872","0.03432108834385872","0.03432108834385872"
"9","0.04485936462879181","0.04485936462879181","0.04485936462879181"
"10","0.030835891142487526","0.030835891142487526","0.030835891142487526"
"11","0.06369701772928238","0.06369701772928238","0.06369701772928238"
"12","0.05630367994308472","0.05630367994308472","0.05630367994308472"
"13","0.033669643104076385","0.033669643104076385","0.033669643104076385"
"14","0.07325215637683868","0.07325215637683868","0.07325215637683868"
"15","0.10490167140960693","0.10490167140960693","0.10490167140960693"
"16","0.0921020656824112","0.0921020656824112","0.0921020656824112"
"17","0.06695524603128433","0.06695524603128433","0.06695524603128433"
"18","0.028590137138962746","0.028590137138962746","0.028590137138962746"
"19","0.06671842932701111","0.06671842932701111","0.06671842932701111"
"20","0.0859433114528656","0.0859433114528656","0.0859433114528656"
"21","0.047729477286338806","0.047729477286338806","0.047729477286338806"
"22","0.04292150214314461","0.04292150214314461","0.04292150214314461"
"23","0.08342135697603226","0.08342135697603226","0.08342135697603226"
"24","0.084233358502388","0.084233358502388","0.084233358502388"
"25","0.06763239949941635","0.06763239949941635","0.06763239949941635"
"26","0.07583253085613251","0.07583253085613251","0.07583253085613251"
"27","0.08784464746713638","0.08784464746713638","0.08784464746713638"
"28","0.08587197959423065","0.08587197959423065","0.08587197959423065"
"29","0.0797572135925293","0.0797572135925293","0.0797572135925293"
"30","0.10808224976062775","0.10808224976062775","0.10808224976062775"
"31","0.10446140915155411","0.10446140915155411","0.10446140915155411"
"32","0.09894871711730957","0.09894871711730957","0.09894871711730957"
"33","0.06732191890478134","0.06732191890478134","0.06732191890478134"
"34","0.10857505351305008","0.10857505351305008","0.10857505351305008"
"35","0.07760275900363922","0.07760275900363922","0.07760275900363922"
"36","0.08851616829633713","0.08851616829633713","0.08851616829633713"
"37","0.10693176090717316","0.10693176090717316","0.10693176090717316"
"38","0.11226892471313477","0.11226892471313477","0.11226892471313477"
"39","0.07498840987682343","0.07498840987682343","0.07498840987682343"
"40","0.0891057699918747","0.0891057699918747","0.0891057699918747"
"41","0.06369969993829727","0.06369969993829727","0.06369969993829727"
"42","0.11318737268447876","0.11318737268447876","0.11318737268447876"
"43","0.08789259940385818","0.08789259940385818","0.08789259940385818"
"44","0.09096205979585648","0.09096205979585648","0.09096205979585648"
"45","0.08825691044330597","0.08825691044330597","0.08825691044330597"
"46","0.10551033169031143","0.10551033169031143","0.10551033169031143"
"47","0.09321121871471405","0.09321121871471405","0.09321121871471405"
"48","0.11917579919099808","0.11917579919099808","0.11917579919099808"
"49","0.11286040395498276","0.11286040395498276","0.11286040395498276"
"50","0.09974990785121918","0.09974990785121918","0.09974990785121918"
